OrderID,ProductID,UnitPrice,Quantity,Discount,CustomerID,OrderDate,ShipperID,Freight,SalesAmount
10248,11,14,12,0,VINET,7/4/2013 0:00,3,32.38,168
10248,42,9.8,10,0,VINET,7/4/2013 0:00,3,32.38,98
10248,72,34.8,5,0,VINET,7/4/2013 0:00,3,32.38,174
10249,14,18.6,9,0,TOMSP,7/5/2013 0:00,1,11.61,167.4
10249,51,42.4,40,0,TOMSP,7/5/2013 0:00,1,11.61,1696
10250,41,7.7,10,0,HANAR,7/8/2013 0:00,2,65.83,77
10250,51,42.4,35,0.15,HANAR,7/8/2013 0:00,2,65.83,1261.4
10250,65,16.8,15,0.15,HANAR,7/8/2013 0:00,2,65.83,214.2
10251,22,16.8,6,0.05,VICTE,7/8/2013 0:00,1,41.34,95.76
10251,57,15.6,15,0.05,VICTE,7/8/2013 0:00,1,41.34,222.3
10251,65,16.8,20,0,VICTE,7/8/2013 0:00,1,41.34,336
10252,20,64.8,40,0.05,SUPRD,7/9/2013 0:00,2,51.3,2462.4
10252,33,2,25,0.05,SUPRD,7/9/2013 0:00,2,51.3,47.5
10252,60,27.2,40,0,SUPRD,7/9/2013 0:00,2,51.3,1088
10253,31,10,20,0,HANAR,7/10/2013 0:00,2,58.17,200
10253,39,14.4,42,0,HANAR,7/10/2013 0:00,2,58.17,604.8
10253,49,16,40,0,HANAR,7/10/2013 0:00,2,58.17,640
10254,24,3.6,15,0.15,CHOPS,7/11/2013 0:00,2,22.98,45.9
10254,55,19.2,21,0.15,CHOPS,7/11/2013 0:00,2,22.98,342.72
10254,74,8,21,0,CHOPS,7/11/2013 0:00,2,22.98,168
10255,2,15.2,20,0,RICSU,7/12/2013 0:00,3,148.33,304
10255,16,13.9,35,0,RICSU,7/12/2013 0:00,3,148.33,486.5
10255,36,15.2,25,0,RICSU,7/12/2013 0:00,3,148.33,380
10255,59,44,30,0,RICSU,7/12/2013 0:00,3,148.33,1320
10256,53,26.2,15,0,WELLI,7/15/2013 0:00,2,13.97,393
10256,77,10.4,12,0,WELLI,7/15/2013 0:00,2,13.97,124.8
10257,27,35.1,25,0,HILAA,7/16/2013 0:00,3,81.91,877.5
10257,39,14.4,6,0,HILAA,7/16/2013 0:00,3,81.91,86.4
10257,77,10.4,15,0,HILAA,7/16/2013 0:00,3,81.91,156
10258,2,15.2,50,0.2,ERNSH,7/17/2013 0:00,1,140.51,608
10258,5,17,65,0.2,ERNSH,7/17/2013 0:00,1,140.51,884
10258,32,25.6,6,0.2,ERNSH,7/17/2013 0:00,1,140.51,122.88
10259,21,8,10,0,CENTC,7/18/2013 0:00,3,3.25,80
10259,37,20.8,1,0,CENTC,7/18/2013 0:00,3,3.25,20.8
10260,41,7.7,16,0.25,OTTIK,7/19/2013 0:00,1,55.09,92.4
10260,57,15.6,50,0,OTTIK,7/19/2013 0:00,1,55.09,780
10260,62,39.4,15,0.25,OTTIK,7/19/2013 0:00,1,55.09,443.25
10260,70,12,21,0.25,OTTIK,7/19/2013 0:00,1,55.09,189
10261,21,8,20,0,QUEDE,7/19/2013 0:00,2,3.05,160
10261,35,14.4,20,0,QUEDE,7/19/2013 0:00,2,3.05,288
10262,5,17,12,0.2,RATTC,7/22/2013 0:00,3,48.29,163.2
10262,7,24,15,0,RATTC,7/22/2013 0:00,3,48.29,360
10262,56,30.4,2,0,RATTC,7/22/2013 0:00,3,48.29,60.8
10263,16,13.9,60,0.25,ERNSH,7/23/2013 0:00,3,146.06,625.5
10263,24,3.6,28,0,ERNSH,7/23/2013 0:00,3,146.06,100.8
10263,30,20.7,60,0.25,ERNSH,7/23/2013 0:00,3,146.06,931.5
10263,74,8,36,0.25,ERNSH,7/23/2013 0:00,3,146.06,216
10264,2,15.2,35,0,FOLKO,7/24/2013 0:00,3,3.67,532
10264,41,7.7,25,0.15,FOLKO,7/24/2013 0:00,3,3.67,163.625
10265,17,31.2,30,0,BLONP,7/25/2013 0:00,1,55.28,936
10265,70,12,20,0,BLONP,7/25/2013 0:00,1,55.28,240
10266,12,30.4,12,0.05,WARTH,7/26/2013 0:00,3,25.73,346.56
10267,40,14.7,50,0,FRANK,7/29/2013 0:00,1,208.58,735
10267,59,44,70,0.15,FRANK,7/29/2013 0:00,1,208.58,2618
10267,76,14.4,15,0.15,FRANK,7/29/2013 0:00,1,208.58,183.6
10268,29,99,10,0,GROSR,7/30/2013 0:00,3,66.29,990
10268,72,27.8,4,0,GROSR,7/30/2013 0:00,3,66.29,111.2
10269,33,2,60,0.05,WHITC,7/31/2013 0:00,1,4.56,114
10269,72,27.8,20,0.05,WHITC,7/31/2013 0:00,1,4.56,528.2
10270,36,15.2,30,0,WARTH,8/1/2013 0:00,1,136.54,456
10270,43,36.8,25,0,WARTH,8/1/2013 0:00,1,136.54,920
10271,33,2,24,0,SPLIR,8/1/2013 0:00,2,4.54,48
10272,20,64.8,6,0,RATTC,8/2/2013 0:00,2,98.03,388.8
10272,31,10,40,0,RATTC,8/2/2013 0:00,2,98.03,400
10272,72,27.8,24,0,RATTC,8/2/2013 0:00,2,98.03,667.2
10273,10,24.8,24,0.05,QUICK,8/5/2013 0:00,3,76.07,565.44
10273,31,10,15,0.05,QUICK,8/5/2013 0:00,3,76.07,142.5
10273,33,2,20,0,QUICK,8/5/2013 0:00,3,76.07,40
10273,40,14.7,60,0.05,QUICK,8/5/2013 0:00,3,76.07,837.9
10273,76,14.4,33,0.05,QUICK,8/5/2013 0:00,3,76.07,451.44
10274,71,17.2,20,0,VINET,8/6/2013 0:00,1,6.01,344
10274,72,27.8,7,0,VINET,8/6/2013 0:00,1,6.01,194.6
10275,24,3.6,12,0.05,MAGAA,8/7/2013 0:00,1,26.93,41.04
10275,59,44,6,0.05,MAGAA,8/7/2013 0:00,1,26.93,250.8
10276,10,24.8,15,0,TORTU,8/8/2013 0:00,3,13.84,372
10276,13,4.8,10,0,TORTU,8/8/2013 0:00,3,13.84,48
10277,28,36.4,20,0,MORGK,8/9/2013 0:00,3,125.77,728
10277,62,39.4,12,0,MORGK,8/9/2013 0:00,3,125.77,472.8
10278,44,15.5,16,0,BERGS,8/12/2013 0:00,2,92.69,248
10278,59,44,15,0,BERGS,8/12/2013 0:00,2,92.69,660
10278,63,35.1,8,0,BERGS,8/12/2013 0:00,2,92.69,280.8
10278,73,12,25,0,BERGS,8/12/2013 0:00,2,92.69,300
